,id,adult,title
275,780,False,The Passion of Joan of Arc
276,55960,False,"Toto, Peppino, and the Hussy"
277,15,False,Citizen Kane
278,449176,False,"Love, Simon"
279,28178,False,Hachi: A Dog's Tale
280,678512,False,Sound of Freedom
281,526702,False,Black Beauty
282,110416,False,Song of the Sea
283,3175,False,Barry Lyndon
284,307,False,"Rome, Open City"
285,359724,False,Ford v Ferrari
286,339877,False,Loving Vincent
287,11778,False,The Deer Hunter
288,947,False,Lawrence of Arabia
289,524,False,Casino
290,595,False,To Kill a Mockingbird
291,414419,False,Kill Bill: The Whole Bloody Affair
292,25376,False,The Secret in Their Eyes
293,11658,False,Tae Guk Gi: The Brotherhood of War
294,205596,False,The Imitation Game
295,930094,False,"Red, White & Royal Blue"
296,568160,False,Weathering with You
297,429210,False,Bingo: The King of the Mornings
298,140420,False,Paperman
299,20453,False,3 Idiots
300,455661,False,In a Heartbeat
301,962,False,The Gold Rush
302,530915,False,1917
303,13223,False,Gran Torino
304,19426,False,Nights of Cabiria
305,18438,False,Castaway on the Moon
306,7508,False,Like Stars on Earth
307,424694,False,Bohemian Rhapsody
308,28978,False,The Circus
309,11104,False,Chungking Express
310,213,False,North by Northwest
311,1050035,False,Monster
312,488623,False,Forgotten
313,10515,False,Castle in the Sky
314,640,False,Catch Me If You Can
315,2517,False,Nobody Knows
316,20530,False,Late Spring
317,1396,False,Mirror
318,28422,False,Love Exposure
319,5801,False,Song of the Little Road
320,14696,False,Ugetsu
321,862,False,Toy Story
322,24,False,Kill Bill: Vol. 1
323,447365,False,Guardians of the Galaxy Vol. 3
324,19542,False,The Red Shoes
325,3090,False,The Treasure of the Sierra Madre
326,76,False,Before Sunrise
327,627,False,Trainspotting
328,574074,False,Kitbull
329,315465,False,The Boy and the Beast
330,554596,False,No Manches Frida 2
331,160885,False,Tel chi el telùn
332,12104,False,Pink Floyd: The Wall
333,634649,False,Spider-Man: No Way Home
334,9764,False,Dersu Uzala
335,961,False,The General
336,38360,False,The Cranes Are Flying
337,38286,False,Three Men and a Leg
338,14160,False,Up
339,916224,False,Suzume
340,615457,False,Nobody
341,745,False,The Sixth Sense
342,70,False,Million Dollar Baby
343,15244,False,A Man Escaped
344,5925,False,The Great Escape
345,329,False,Jurassic Park
346,29264,False,The Exterminating Angel
347,1580,False,Rope
348,242828,False,When Marnie Was There
349,237791,False,The Way He Looks
350,15383,False,Army of Shadows
351,10997,False,Farewell My Concubine
352,10386,False,The Iron Giant
353,679,False,Aliens
354,37797,False,Whisper of the Heart
355,11712,False,Sanjuro
356,1010581,False,My Fault
357,6977,False,No Country for Old Men
358,770,False,Gone with the Wind
359,149,False,Akira
360,76203,False,12 Years a Slave
361,10404,False,Raise the Red Lantern
362,197,False,Braveheart
363,158445,False,Miracle in Cell No. 7
364,1059,False,The Hidden Fortress
365,81,False,Nausicaä of the Valley of the Wind
366,78,False,Blade Runner
367,776503,False,CODA
368,3777,False,Throne of Blood
369,426618,False,Where Hands Touch
370,10238,False,Cries and Whispers
371,20803,False,Ivan Vasilyevich Changes His Profession
372,41050,False,La Notte
373,8290,False,Don't Look Now... We're Being Shot At!
374,1578,False,Raging Bull
375,11010,False,The Postman
376,296096,False,Me Before You
377,152532,False,Dallas Buyers Club
378,234,False,The Cabinet of Dr. Caligari
379,85,False,Raiders of the Lost Ark
380,920394,False,My Father's Violin
381,626332,False,Flamin' Hot
382,28971,False,Limelight
383,9323,False,Ghost in the Shell
384,404378,False,A Street Cat Named Bob
385,615453,False,Ne Zha
386,122906,False,About Time
387,654,False,On the Waterfront
388,378108,False,In This Corner of the World
389,1092,False,The Third Man
390,489412,False,It's Such a Beautiful Day
391,1646,False,Freedom Writers
392,10242,False,What Ever Happened to Baby Jane?
393,949,False,Heat
394,110,False,Three Colors: Red
395,829,False,Chinatown
396,775,False,A Trip to the Moon
397,491480,False,The Boy Who Harnessed the Wind
398,142061,False,"Batman: The Dark Knight Returns, Part 2"
399,150540,False,Inside Out
400,21334,False,Children of Heaven
401,505262,False,My Hero Academia: Two Heroes
402,671,False,Harry Potter and the Philosopher's Stone
403,33,False,Unforgiven
404,49964,False,Where Is The Friend's House?
405,194,False,Amélie
406,360814,False,Dangal
407,10674,False,Mulan
408,405,False,La Strada
409,726684,False,Miraculous World: Shanghai – The Legend of Ladydragon
410,334533,False,Captain Fantastic
411,482321,False,Ron's Gone Wrong
412,118340,False,Guardians of the Galaxy
413,13398,False,Tokyo Godfathers
414,7984,False,In the Name of the Father
415,597,False,Titanic
416,501929,False,The Mitchells vs. the Machines
417,48035,False,Ordet
418,7857,False,Amarcord
419,455714,False,Bad Genius
420,30017,False,Close-Up
421,550205,False,Wish Dragon
422,313369,False,La La Land
423,827,False,Diabolique
424,1402,False,The Pursuit of Happyness
425,698948,False,Thirteen Lives
426,60243,False,A Separation
427,2011,False,Persepolis
428,20271,False,Divorce Italian Style
429,1892,False,Return of the Jedi
430,752,False,V for Vendetta
431,610150,False,Dragon Ball Super: Super Hero
432,961323,False,Nimona
433,458302,False,"Remi, Nobody's Boy"
434,223,False,Rebecca
435,548544,False,Invisible Life
436,210577,False,Gone Girl
437,503314,False,Dragon Ball Super: Broly
438,20722,False,La Maison en Petits Cubes
439,316029,False,The Greatest Showman
440,714888,False,"Argentina, 1985"
441,11036,False,The Notebook
442,17295,False,The Battle of Algiers
443,183011,False,Justice League: The Flashpoint Paradox
444,52629,False,El Infierno
445,14836,False,Coraline
446,3083,False,Mr. Smith Goes to Washington
447,3112,False,The Night of the Hunter
448,944401,False,Dogman
449,522402,False,Finch
450,32085,False,Vincent
451,665,False,Ben-Hur
452,667520,False,A Whisker Away
453,10728,False,Faust
454,331482,False,Little Women
455,522212,False,Just Mercy
456,354857,False,Regular Show: The Movie
457,3034,False,Young Frankenstein
458,804,False,Roman Holiday
459,393,False,Kill Bill: Vol. 2
460,16,False,Dancer in the Dark
461,25538,False,Yi Yi
462,265195,False,Wild Tales
463,369557,False,Sing Street
464,47796,False,Mamma Roma
465,31411,False,The Cameraman
466,23160,False,Werckmeister Harmonies
467,29455,False,Winter Light
468,438695,False,Sing 2
469,11293,False,Paper Moon
470,381341,False,Perfect Strangers
471,1607,False,A Bronx Tale
472,662,False,La Jetée
473,180147,False,We Are the Nobles
474,833,False,Umberto D.
475,31442,False,Ivan's Childhood
476,652722,False,In the Arms of an Assassin
477,552532,False,Charm City Kings
478,275,False,Fargo
479,613,False,Downfall
480,152601,False,Her
481,453,False,A Beautiful Mind
482,785084,False,The Whale
483,594634,False,Close to the Horizon
484,505192,False,Shoplifters
485,94047,False,My Way
486,235,False,Stand by Me
487,266856,False,The Theory of Everything
488,582927,False,I'm No Longer Here
489,573164,False,An Egg Rescue
490,25364,False,Ace in the Hole
491,89,False,Indiana Jones and the Last Crusade
492,527774,False,Raya and the Last Dragon
493,430424,False,See You Up There
494,399174,False,Isle of Dogs
495,59440,False,Warrior
496,24238,False,Mary and Max
497,546554,False,Knives Out
498,435129,False,The Breadwinner
499,16804,False,Departures
500,777,False,Grand Illusion
501,596,False,The Grapes of Wrath
502,581,False,Dances with Wolves
503,698508,False,Redeeming Love
504,379170,False,Sherlock: The Abominable Bride
505,585,False,"Monsters, Inc."
506,579245,False,The Specials
507,2440,False,Joint Security Area
508,185789,False,Mulholland Dr.
509,14574,False,The Boy in the Striped Pyjamas
510,11830,False,Tampopo
511,5924,False,Papillon
512,631,False,Sunrise: A Song of Two Humans
513,115,False,The Big Lebowski
514,632322,False,All My Life
515,1394,False,Nostalgia
516,293299,False,Feast
517,968,False,Dog Day Afternoon
518,198,False,To Be or Not to Be
519,391,False,A Fistful of Dollars
520,24167,False,Two Women
521,937746,False,Io Capitano
522,6075,False,Carlito's Way
523,3870,False,1900
524,200727,False,"Love, Rosie"
525,9479,False,The Nightmare Before Christmas
526,712454,False,The Summit of the Gods
527,2721,False,Z
528,826,False,The Bridge on the River Kwai
529,980489,False,Gran Turismo
530,618588,False,Arthur the King
531,10191,False,How to Train Your Dragon
532,783675,False,The First Slam Dunk
533,715931,False,Emancipation
534,152742,False,The Best Offer
535,11656,False,The Virgin Spring
536,398924,False,A Bag of Marbles
537,32480,False,The Marquis of Grillo
538,805,False,Rosemary's Baby
539,16859,False,Kiki's Delivery Service
540,93,False,Anatomy of a Murder
541,2062,False,Ratatouille
542,301,False,Rio Bravo
543,323272,False,War Room
544,10775,False,Infernal Affairs
545,508943,False,Luca
546,263115,False,Logan
547,10774,False,Network
548,650031,False,The Shadow in My Eye
549,779047,False,Us Again
550,677638,False,We Bare Bears: The Movie
551,83564,False,La luna
552,12,False,Finding Nemo
553,31011,False,Mr. Nobody
554,314365,False,Spotlight
555,33320,False,Millennium Actress
556,3078,False,It Happened One Night
557,25606,False,White Collar Blues
558,80,False,Before Sunset
559,593,False,Solaris
560,523781,False,Words on Bathroom Walls
561,113,False,"Spring, Summer, Fall, Winter... and Spring"
562,674,False,Harry Potter and the Goblet of Fire
563,502,False,Fail Safe
564,52345,False,Lisbela and the Prisoner
565,934,False,Rififi
566,530254,False,The Witch: Part 1. The Subversion
567,348892,False,Bajrangi Bhaijaan
568,56231,False,The Working Class Goes to Heaven
569,47931,False,Elite Squad: The Enemy Within
570,1018,False,Mulholland Drive
571,107,False,Snatch
572,58129,False,The Phantom Carriage
573,11953,False,Kagemusha
574,393559,False,My Life as a Zucchini
575,71157,False,Polisse
576,10315,False,Fantastic Mr. Fox
577,1675,False,Day for Night
578,15859,False,A Moment to Remember
579,4977,False,Paprika
580,901563,False,Close
581,29458,False,One Hundred Steps
582,554590,False,Tod@s Caen
583,5915,False,Into the Wild
584,22,False,Pirates of the Caribbean: The Curse of the Black Pearl
585,49797,False,I Saw the Devil
586,762,False,Monty Python and the Holy Grail
587,335578,False,Land of Mine
588,10193,False,Toy Story 3
589,142,False,Brokeback Mountain
590,419478,False,Midnight Sun
591,11621,False,Porco Rosso
592,1280,False,3-Iron
593,303867,False,World of Tomorrow
594,2118,False,L.A. Confidential
595,136,False,Freaks
596,367412,False,Whiplash
597,359156,False,Don't Be Bad
598,31056,False,A Short Film About Love
599,84892,False,The Perks of Being a Wallflower
600,22843,False,Evangelion: 2.0 You Can (Not) Advance
601,581528,False,"The Gangster, the Cop, the Devil"
602,22683,False,Gifted Hands: The Ben Carson Story
603,9475,False,Scent of a Woman
604,562,False,Die Hard
605,262,False,The King of Comedy
606,428493,False,God's Own Country
607,149870,False,The Wind Rises
608,9421,False,The Dinner Game
609,277216,False,Straight Outta Compton
610,1366,False,Rocky
611,13042,False,Presto
612,11697,False,The Man Who Shot Liberty Valance
613,11602,False,Through a Glass Darkly
614,438631,False,Dune
615,976893,False,Perfect Days
616,585511,False,Luck
617,531,False,The Wrong Trousers
618,545611,False,Everything Everywhere All at Once
619,18079,False,Nine Queens
620,887,False,The Best Years of Our Lives
621,445030,False,No Game No Life: Zero
622,113833,False,The Normal Heart
623,49026,False,The Dark Knight Rises
624,423612,False,Never Look Away
625,14069,False,The Girl Who Leapt Through Time
626,609242,False,The Heist of the Century
627,553,False,Dogville
628,141,False,Donnie Darko
629,169813,False,Short Term 12
630,5961,False,Fanny and Alexander
631,760774,False,One Life
632,86837,False,Amour
633,16237,False,Teen Titans: Trouble in Tokyo
634,5511,False,Le Samouraï
635,666277,False,Past Lives
636,126319,False,Ernest & Celestine
637,792307,False,Poor Things
638,11005,False,Awakenings
639,11049,False,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
640,117,False,The Untouchables
641,359784,False,Maudie
642,24480,False,Partly Cloudy
643,843906,False,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
644,1700,False,Misery
645,165,False,Back to the Future Part II
646,882569,False,Guy Ritchie's The Covenant
647,22596,False,Safety Last!
648,1480,False,Touch of Evil
649,380,False,Rain Man
650,144,False,Wings of Desire
651,587,False,Big Fish
652,583,False,Life of Brian
653,705861,False,Hustle
654,29845,False,A Woman Under the Influence
655,20126,False,Deep Red
656,15916,False,Angel's Egg
657,12496,False,The Twilight Samurai
658,6844,False,The Ten Commandments
659,336804,False,Mustang
660,925,False,Do the Right Thing
661,14756,False,Ip Man
662,13855,False,The Chaser
663,143,False,All Quiet on the Western Front
664,1002185,False,A Million Miles Away
665,17483,False,Shelter
